model_type,model_name,dependent_variable,independent_variable,coefficient,standard_error,t_statistic,p_value,r_squared,adjusted_r_squared,n_obs,proxy_variable,proxy_coefficient,proxy_standard_error,proxy_t_statistic,proxy_p_value,added_variable,added_variable_coefficient,added_variable_standard_error,added_variable_t_statistic,added_variable_p_value
bivariate,dollar_log_return ~ vix,dollar_log_return,vix,0.00043796432278934896,0.0001971494181910652,2.221484226572257,0.02631818189140488,0.0718258641996029,0.06790951763504427,239,,,,,,,,,,
bivariate,dollar_log_return ~ STLFSI4,dollar_log_return,STLFSI4,0.0031488548670963786,0.0014003017426054132,2.248697385206129,0.024531755661212705,0.0783775098509043,0.07448880736082375,239,,,,,,,,,,
bivariate,dollar_log_return ~ vxy_g7,dollar_log_return,vxy_g7,0.000948085743358616,0.0006533105143924032,1.4512023340698288,0.1467235271540356,0.03665254714257404,0.03258778995752165,239,,,,,,,,,,
bivariate,dollar_log_return ~ vxy_em,dollar_log_return,vxy_em,0.001102245765459068,0.0005391261742064046,2.044504270417917,0.04090375596414217,0.062136012702470156,0.05817878068855653,239,,,,,,,,,,
bivariate,dollar_log_return ~ gepu_diff,dollar_log_return,gepu_diff,6.56675726815023e-05,2.3510775154657927e-05,2.7930841177940624,0.005220811368793656,0.03894535422276313,0.03487308877455453,238,,,,,,,,,,
augmented,dollar_log_return ~ vix + STLFSI4,dollar_log_return,,,,,,0.08482614891294593,0.0770704383105133,239,vix,0.00020829417772810316,0.00018961287048987536,1.0985234134685247,0.27197599960588525,STLFSI4,0.0020355329531410054,0.0017937860569223643,1.1347690797827983,0.25647208474185734
augmented,dollar_log_return ~ vix + gepu_diff,dollar_log_return,,,,,,0.10315954828356,0.09552686358810092,238,vix,0.00041481678548176777,0.00019253973728006985,2.1544476550228793,0.031205082786365423,gepu_diff,5.975121280849801e-05,2.2062578632262706e-05,2.7082606165138916,0.006763688618373333
augmented,dollar_log_return ~ vxy_g7 + STLFSI4,dollar_log_return,,,,,,0.07946155157015988,0.07166037827838156,239,vxy_g7,-0.000250984685366955,0.0005960367781366058,-0.42108925920915535,0.6736899043853585,STLFSI4,0.0035822275222234332,0.001733437223900724,2.0665458620776636,0.038776966642917854
augmented,dollar_log_return ~ vxy_g7 + gepu_diff,dollar_log_return,,,,,,0.0716615499085067,0.06376079714177063,238,vxy_g7,0.0008966896827125671,0.0006448846741022293,1.3904651772983845,0.16438766653544534,gepu_diff,6.314249768710764e-05,2.2664870884883914e-05,2.7859191436744446,0.005337618392962961
augmented,dollar_log_return ~ vxy_em + STLFSI4,dollar_log_return,,,,,,0.080342214644886,0.07254850459950368,239,vxy_em,0.0003225267308770078,0.0007324245984281155,0.44035485914754197,0.6596801136390096,STLFSI4,0.0024973355812425444,0.0021506218522644315,1.1612155705630216,0.24555424421373584
augmented,dollar_log_return ~ vxy_em + gepu_diff,dollar_log_return,,,,,,0.09727507426923221,0.08959230894386394,238,vxy_em,0.001069304655909148,0.0005322954885163981,2.008855380100045,0.04455247309964938,gepu_diff,6.35870254388902e-05,2.228069258053115e-05,2.85390704122243,0.004318516573929568
