model_name,dependent_variable,explanatory_variables,coefficient_main_proxy,p_value_main_proxy,coefficient_crisis_dummy,p_value_crisis_dummy,coefficient_interaction,p_value_interaction,r_squared,adjusted_r_squared,n_obs
ΔVIX + ΔSTLFSI4 × GFC,dollar_log_return,vix_diff + STLFSI4_diff + GFC_dummy + vix_diff:GFC_dummy,3.3039923645393276e-05,0.8275647064078144,0.007612434116787369,0.21334392379871592,0.0010354757301837135,0.03672330324908249,0.21150425462199163,0.19802569487194022,239.0
ΔVIX + ΔGEPU × GFC,dollar_log_return,vix_diff + gepu_diff + GFC_dummy + vix_diff:GFC_dummy,0.00027878598871925136,0.04688839631883707,0.007289473086628966,0.2529315627354992,0.0016756003238146697,0.00016892459281218366,0.17097898812314272,0.1567468677475744,238.0
ΔVIX + ΔSTLFSI4 × COVID,dollar_log_return,vix_diff + STLFSI4_diff + COVID_dummy + vix_diff:COVID_dummy,0.00023125888693574444,0.15572303743544988,0.005637336297492702,0.1299347839144075,-0.0008895729612488708,0.008042312193492177,0.1923102357356512,0.17850357309865383,239.0
ΔVIX + ΔGEPU × COVID,dollar_log_return,vix_diff + gepu_diff + COVID_dummy + vix_diff:COVID_dummy,0.0006362359388524157,0.012164403192715374,0.003226452364233143,0.513306681807109,-0.0004204889655272005,0.1836332753499249,0.09616987577317082,0.08065347879073603,238.0
ΔVXY_G7 + ΔSTLFSI4 × GFC,dollar_log_return,vxy_g7_diff + STLFSI4_diff + GFC_dummy + vxy_g7_diff:GFC_dummy,0.0007249000725757905,0.47609019179582035,0.0075467542117082925,0.2911992757581374,0.00024223956323988268,0.8886527616076361,0.19178507787643317,0.17796943818201327,239.0
ΔVXY_G7 + ΔGEPU × GFC,dollar_log_return,vxy_g7_diff + gepu_diff + GFC_dummy + vxy_g7_diff:GFC_dummy,0.0022350320463147364,0.015015238444122662,0.0062913558857683695,0.3756351196126554,0.002619353301954407,0.07645969318819376,0.1422791876051609,0.12755436679151566,238.0
ΔVXY_G7 + ΔSTLFSI4 × COVID,dollar_log_return,vxy_g7_diff + STLFSI4_diff + COVID_dummy + vxy_g7_diff:COVID_dummy,0.0008424713155748009,0.3291910390586167,0.005149721306679711,0.16116348256384183,-0.005796311889381262,0.013397867541441769,0.19277359045089193,0.17897484840731748,239.0
ΔVXY_G7 + ΔGEPU × COVID,dollar_log_return,vxy_g7_diff + gepu_diff + COVID_dummy + vxy_g7_diff:COVID_dummy,0.0033507079574590626,0.004653401641337527,0.0032249768230116155,0.5029983877504498,-0.000426489095049447,0.8347567023485366,0.1194945176900003,0.1043785437447643,238.0
ΔVXY_EM + ΔSTLFSI4 × GFC,dollar_log_return,vxy_em_diff + STLFSI4_diff + GFC_dummy + vxy_em_diff:GFC_dummy,0.0029557227464135317,0.00014480197813394514,0.0061326302233949415,0.2803859649247278,0.0006124429886584203,0.5207678937396134,0.24847558724674146,0.23562901608856612,239.0
ΔVXY_EM + ΔGEPU × GFC,dollar_log_return,vxy_em_diff + gepu_diff + GFC_dummy + vxy_em_diff:GFC_dummy,0.0034832962942173483,1.6844536515082365e-06,0.0051767125742866104,0.34014449999431806,0.0019204008145854482,0.03897148724015287,0.24455467791758767,0.23158565951273946,238.0
ΔVXY_EM + ΔSTLFSI4 × COVID,dollar_log_return,vxy_em_diff + STLFSI4_diff + COVID_dummy + vxy_em_diff:COVID_dummy,0.003116365711599332,0.0004363885501577856,0.003225722359486243,0.5359498065453676,-0.0017500603460016096,0.5118484537159211,0.23851483900975368,0.2254979986509461,239.0
ΔVXY_EM + ΔGEPU × COVID,dollar_log_return,vxy_em_diff + gepu_diff + COVID_dummy + vxy_em_diff:COVID_dummy,0.00421526929185344,9.812964069471997e-08,5.786083839224871e-05,0.989528904667374,0.0018763718471477603,0.2422434359111637,0.22841597727921326,0.21516989963593802,238.0
